district_code,district_name,year,population
ZW_101,Buhera,2022,271939
ZW_101,Buhera,2023,278627
ZW_101,Buhera,2024,285278
ZW_101,Buhera,2025,291831
ZW_101,Buhera,2026,298220
ZW_101,Buhera,2027,304912
ZW_101,Buhera,2028,311658
ZW_101,Buhera,2029,318624
ZW_101,Buhera,2030,325668
ZW_101,Buhera,2031,332678
ZW_101,Buhera,2032,340199
ZW_101,Buhera,2033,348070
ZW_101,Buhera,2034,356446
ZW_101,Buhera,2035,365242
ZW_101,Buhera,2036,374384
ZW_101,Buhera,2037,383751
ZW_101,Buhera,2038,393714
ZW_101,Buhera,2039,403978
ZW_101,Buhera,2040,414764
ZW_101,Buhera,2041,425930
ZW_101,Buhera,2042,437089
ZW_102,Chimanimani,2022,153640
ZW_102,Chimanimani,2023,157401
ZW_102,Chimanimani,2024,161251
ZW_102,Chimanimani,2025,165189
ZW_102,Chimanimani,2026,169267
ZW_102,Chimanimani,2027,173444
ZW_102,Chimanimani,2028,177786
ZW_102,Chimanimani,2029,182245
ZW_102,Chimanimani,2030,186847
ZW_102,Chimanimani,2031,191654
ZW_102,Chimanimani,2032,196617
ZW_102,Chimanimani,2033,201740
ZW_102,Chimanimani,2034,207018
ZW_102,Chimanimani,2035,212462
ZW_102,Chimanimani,2036,218046
ZW_102,Chimanimani,2037,223799
ZW_102,Chimanimani,2038,229714
ZW_102,Chimanimani,2039,235758
ZW_102,Chimanimani,2040,241887
ZW_102,Chimanimani,2041,248119
ZW_102,Chimanimani,2042,254504
ZW_103,Chipinge,2022,375326
ZW_103,Chipinge,2023,384669
ZW_103,Chipinge,2024,393934
ZW_103,Chipinge,2025,403103
ZW_103,Chipinge,2026,412295
ZW_103,Chipinge,2027,421963
ZW_103,Chipinge,2028,431603
ZW_103,Chipinge,2029,441558
ZW_103,Chipinge,2030,451639
ZW_103,Chipinge,2031,461823
ZW_103,Chipinge,2032,472615
ZW_103,Chipinge,2033,483849
ZW_103,Chipinge,2034,495602
ZW_103,Chipinge,2035,507704
ZW_103,Chipinge,2036,520174
ZW_103,Chipinge,2037,533218
ZW_103,Chipinge,2038,546570
ZW_103,Chipinge,2039,560425
ZW_103,Chipinge,2040,574765
ZW_103,Chipinge,2041,589448
ZW_103,Chipinge,2042,604317
ZW_123,Chipinge Urban,2022,34967
ZW_123,Chipinge Urban,2023,35886
ZW_123,Chipinge Urban,2024,36822
ZW_123,Chipinge Urban,2025,37786
ZW_123,Chipinge Urban,2026,38814
ZW_123,Chipinge Urban,2027,39853
ZW_123,Chipinge Urban,2028,40908
ZW_123,Chipinge Urban,2029,41964
ZW_123,Chipinge Urban,2030,43034
ZW_123,Chipinge Urban,2031,44149
ZW_123,Chipinge Urban,2032,45299
