province,district_name,urban_rural,population,pop_covered_4g_pct,internet_users_pct,electricity_access_pct,basket_data_voice_low_pct_gni,coverage_gap,adoption_gap,affordability_gap,electricity_gap,ddi,ddi_rank,ddi_quintile,base_stations,base_stations_per_10k,towers_per_10k
Mashonaland West,Hurungwe,rural,390907,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),170,4.35,
Mashonaland East,Goromonzi,rural,386199,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),168,4.35,
Manicaland,Chipinge Rural,rural,375259,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),164,4.37,
Harare,Harare Rural,rural,357860,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),156,4.36,91.18
Mashonaland West,Zvimba,rural,347994,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),152,4.37,
Midlands,Gokwe South,rural,317553,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),138,4.35,
Manicaland,Mutare Rural,rural,306760,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),134,4.37,
Masvingo,Chiredzi Rural,rural,303503,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),132,4.35,
Mashonaland Central,Mazowe,rural,293362,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),128,4.36,0.61
Manicaland,Makoni,rural,288444,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),126,4.37,
Manicaland,Buhera,rural,271920,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),119,4.38,
Midlands,Gokwe North,rural,249723,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),109,4.36,0.84
Mashonaland Central,Mount Darwin,rural,240727,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),105,4.36,
Masvingo,Masvingo Rural,rural,238103,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),104,4.37,
Mashonaland West,Makonde,rural,209947,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),92,4.38,
Masvingo,Mwenezi,rural,209327,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),91,4.35,1.91
Midlands,Mberengwa,rural,208458,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),91,4.37,
Masvingo,Gutu,rural,208160,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),91,4.37,3.65
Mashonaland East,Murehwa,rural,205442,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),90,4.38,
Mashonaland East,Seke,rural,200476,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),87,4.34,7.08
Masvingo,Zaka,rural,198889,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),87,4.37,0.96
Manicaland,Mutasa,rural,197810,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),86,4.35,
Midlands,Kwekwe Rural,rural,197063,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),86,4.36,
Mashonaland West,Chegutu Rural,rural,178906,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),78,4.36,
Masvingo,Bikita,rural,176835,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),77,4.35,
Masvingo,Chivi,rural,172979,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),75,4.34,0.29
Mashonaland Central,Bindura Rural,rural,169841,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),74,4.36,
Mashonaland Central,Shamva,rural,165641,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),72,4.35,
Mashonaland East,Mutoko,rural,161091,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),70,4.35,
Matabeleland North,Binga,rural,159982,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),70,4.38,
Mashonaland East,Mudzi,rural,158483,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),69,4.35,8.39
Manicaland,Chimanimani,rural,153620,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),67,4.36,
Mashonaland Central,Guruve,rural,153602,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),67,4.36,
Manicaland,Nyanga Rural,rural,146282,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),64,4.38,
Mashonaland West,Mhondoro Ngezi,rural,140991,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),61,4.33,
Mashonaland West,Sanyati,rural,139233,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),61,4.38,0.93
Mashonaland East,Marondera Rural,rural,136173,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),59,4.33,
Mashonaland Central,Muzarabani,rural,134076,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),58,4.33,
Matabeleland South,Gwanda,rural,124548,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),54,4.34,
Mashonaland East,Uzumba Maramba Pfungwe (UMP),rural,124225,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),54,4.35,
Mashonaland East,Chikomba,rural,123937,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),54,4.36,
Matabeleland South,Insiza,rural,122903,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),54,4.39,
Midlands,Gweru Rural,rural,121712,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),53,4.35,
Matabeleland North,Tsholotsho,rural,115782,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),50,4.32,
Matabeleland North,Umguza,rural,113265,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),49,4.33,
Matabeleland North,Nkayi,rural,112471,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),49,4.36,
Matabeleland North,Lupane,rural,107245,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),47,4.38,
Midlands,Shurugwi Rural,rural,98315,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),43,4.37,
Matabeleland South,Matobo,rural,95696,29.0,41.64,51.4,3.15,71.0,58.4,31.5,48.6,52.4,1,Q5 (worst),42,4.39,1.78
