FREQ,Frequency,REF_AREA,Reference Area,IND_DEMO,Demographics Indicator,AGE_GROUP,Age group,SEX,Sex (DESC),TIME_PERIOD,Observation,Observation Status,UNIT_MEASURE,Unit of Measure,SOURCE,Source
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2022,271938.8911301125,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2023,278627.4918251119,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2024,285277.9780397039,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2025,291830.7561684658,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2026,298220.2340880127,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2027,304911.96633128833,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2028,311657.8360640779,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2029,318624.3697755763,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2030,325667.7213757572,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2031,332678.2044516497,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2032,340198.6810431824,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2033,348070.01045185234,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2034,356446.0111857505,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2035,365242.12669312174,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2036,374383.5848213332,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2037,383750.7024777322,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2038,393714.21076469147,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2039,403977.758350514,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2040,414764.1022084508,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2041,425929.9214651204,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,_T,Total,2042,437088.531263398,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,M,Male,2022,125759.54631193679,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,M,Male,2023,128854.0344319428,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,M,Male,2024,131865.02128701695,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,M,Male,2025,134798.96533994508,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
A,Annually,ZW_101,Buhera,POP_PROJ,Population projection,_T,Total,M,Male,2026,137662.24577967514,,NUM_PER,Number of Persons,ZIMSTAT,ZIMSTAT
