province,district_name,urban_rural,population
Bulawayo,Bulawayo,urban,665940
Manicaland,Buhera,rural,271920
Manicaland,Chimanimani,rural,153620
Manicaland,Chipinge Rural,rural,375259
Manicaland,Makoni,rural,288444
Manicaland,Mutare Rural,rural,306760
Manicaland,Mutasa,rural,197810
Manicaland,Nyanga Rural,rural,146282
Manicaland,Mutare,urban,224802
Manicaland,Rusape,urban,37906
Manicaland,Chipinge Urban,urban,34959
Mashonaland Central,Bindura Rural,rural,169841
Mashonaland Central,Muzarabani,rural,134076
Mashonaland Central,Guruve,rural,153602
Mashonaland Central,Mazowe,rural,293362
Mashonaland Central,Mount Darwin,rural,240727
Mashonaland Central,Rushinga,rural,76880
Mashonaland Central,Shamva,rural,165641
Mashonaland Central,Mbire,rural,83724
Mashonaland Central,Bindura Urban,urban,51393
Mashonaland Central,Mvurwi,urban,15645
Mashonaland East,Chikomba,rural,123937
Mashonaland East,Goromonzi,rural,386199
Mashonaland East,Hwedza,rural,74869
Mashonaland East,Marondera Rural,rural,136173
Mashonaland East,Mudzi,rural,158483
Mashonaland East,Murehwa,rural,205442
Mashonaland East,Mutoko,rural,161091
Mashonaland East,Seke,rural,200476
Mashonaland East,Uzumba Maramba Pfungwe (UMP),rural,124225
Mashonaland East,Marondera,urban,66203
Mashonaland East,Ruwa Local Board,urban,94083
Mashonaland West,Chegutu Rural,rural,178906
Mashonaland West,Hurungwe,rural,390907
Mashonaland West,Mhondoro Ngezi,rural,140991
Mashonaland West,Kariba Rural,rural,45774
Mashonaland West,Makonde,rural,209947
Mashonaland West,Zvimba,rural,347994
Mashonaland West,Sanyati,rural,139233
Mashonaland West,Chinhoyi Urban,urban,103671
Mashonaland West,Kadoma,urban,117380
Mashonaland West,Chegutu Urban,urban,66258
Mashonaland West,Kariba Urban,urban,27909
Mashonaland West,Norton,urban,87038
Mashonaland West,Karoi,urban,37564
Matabeleland North,Binga,rural,159982
Matabeleland North,Bubi,rural,74084
Matabeleland North,Hwange Rural,rural,69357
Matabeleland North,Lupane,rural,107245
Matabeleland North,Nkayi,rural,112471
Matabeleland North,Tsholotsho,rural,115782
Matabeleland North,Umguza,rural,113265
Matabeleland North,Hwange Urban,urban,40241
Matabeleland North,Victoria Falls,urban,35199
Matabeleland South,Beitbridge Rural,rural,94000
Matabeleland South,Bulilima,rural,85600
Matabeleland South,Mangwe,rural,65562
Matabeleland South,Gwanda,rural,124548
Matabeleland South,Insiza,rural,122903
Matabeleland South,Matobo,rural,95696
Matabeleland South,Umzingwane,rural,71860
Matabeleland South,Gwanda Urban,urban,27143
Matabeleland South,Beitbridge,urban,58574
Matabeleland South,Plumtree,urban,14459
Midlands,Chirumhanzu,rural,95272
Midlands,Gokwe North,rural,249723
Midlands,Gokwe South,rural,317553
Midlands,Gweru Rural,rural,121712
Midlands,Kwekwe Rural,rural,197063
Midlands,Mberengwa,rural,208458
Midlands,Shurugwi Rural,rural,98315
Midlands,Zvishavane Rural,rural,85035
Midlands,Gweru Urban,urban,161292
Midlands,Kwekwe Urban,urban,119863
Midlands,Redcliff,urban,41526
Midlands,Zvishavane Urban,urban,59717
Midlands,Gokwe Centre,urban,33075
Midlands,Shurugwi Urban,urban,23304
Masvingo,Bikita,rural,176835
Masvingo,Chiredzi Rural,rural,303503
Masvingo,Chivi,rural,172979
Masvingo,Gutu,rural,208160
Masvingo,Masvingo Rural,rural,238103
Masvingo,Mwenezi,rural,209327
Masvingo,Zaka,rural,198889
Masvingo,Masvingo Urban,urban,90286
Masvingo,Chiredzi Urban,urban,40457
Harare,Harare Rural,rural,357860
Harare,Harare Urban,urban,1491740
Harare,Chitungwiza,urban,371244
Harare,Epworth,urban,206365
